,g,date,unnamed: 2_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 23_level_1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,season,team
1,2,2022-11-11,,Kansas City,W,86,48,30,64,.469,8,27,.296,18,26,.692,11,39,15,11,8,11,11,,20,64,.313,3,21,.143,5,7,.714,12,36,8,5,2,23,21,2023,illinois
2,3,2022-11-14,,Monmouth,W,103,65,37,62,.597,14,33,.424,15,20,.750,11,35,21,11,4,18,23,,21,49,.429,6,16,.375,17,23,.739,3,18,11,6,0,22,21,2023,illinois
3,4,2022-11-18,N,UCLA,W,79,70,27,51,.529,12,25,.480,13,19,.684,3,33,19,8,4,21,17,,27,72,.375,9,22,.409,7,14,.500,11,30,17,10,3,15,15,2023,illinois
4,5,2022-11-20,N,Virginia,L,61,70,24,59,.407,9,26,.346,4,9,.444,7,28,11,5,4,13,22,,20,48,.417,5,17,.294,25,32,.781,8,36,10,8,2,12,14,2023,illinois
5,6,2022-11-25,,Lindenwood,W,92,59,36,62,.581,11,30,.367,9,11,.818,9,34,17,16,2,21,12,,24,58,.414,5,18,.278,6,6,1.000,6,20,9,7,1,18,10,2023,illinois
6,7,2022-11-29,,Syracuse,W,73,44,24,67,.358,11,39,.282,14,22,.636,13,41,21,7,6,7,15,,15,54,.278,5,17,.294,9,17,.529,10,40,11,3,5,15,22,2023,illinois
7,8,2022-12-02,@,Maryland,L,66,71,27,61,.443,5,20,.250,7,8,.875,13,32,8,5,7,12,18,,24,54,.444,9,23,.391,14,18,.778,8,27,9,3,3,10,13,2023,illinois
8,9,2022-12-06,N,Texas,W (1 OT),85,78,27,60,.450,10,23,.435,21,31,.677,7,37,11,7,12,16,20,,29,69,.420,7,22,.318,13,19,.684,10,34,20,8,3,14,24,2023,illinois
9,10,2022-12-10,,Penn State,L,59,74,23,52,.442,7,23,.304,6,12,.500,7,31,11,4,4,11,11,,27,54,.500,12,24,.500,8,10,.800,3,25,13,9,1,9,15,2023,illinois
10,11,2022-12-17,,Alabama A&M,W,68,47,24,57,.421,7,27,.259,13,23,.565,14,40,9,7,6,18,16,,17,56,.304,3,17,.176,10,14,.714,10,31,2,7,6,17,23,2023,illinois
11,12,2022-12-22,N,Missouri,L,71,93,25,62,.403,7,31,.226,14,19,.737,18,35,10,6,1,16,16,,35,59,.593,10,20,.500,13,18,.722,8,24,23,13,2,10,20,2023,illinois
12,13,2022-12-29,,Bethune-Cookman,W,85,52,29,59,.492,8,28,.286,19,27,.704,9,38,17,10,10,15,16,,17,58,.293,3,13,.231,15,20,.750,9,33,6,12,3,20,21,2023,illinois
13,14,2023-01-04,@,Northwestern,L,60,73,23,58,.397,8,28,.286,6,10,.600,7,34,13,2,6,15,29,,17,53,.321,7,18,.389,32,40,.800,8,31,11,11,3,7,17,2023,illinois
14,15,2023-01-07,,Wisconsin,W,79,69,25,53,.472,10,19,.526,19,26,.731,7,37,14,5,6,10,14,,28,64,.438,8,29,.276,5,12,.417,10,34,12,6,2,9,21,2023,illinois
15,16,2023-01-10,@,Nebraska,W,76,50,28,61,.459,8,29,.276,12,18,.667,13,39,15,12,7,10,21,,20,54,.370,4,14,.286,6,11,.545,7,29,8,3,2,17,17,2023,illinois
16,17,2023-01-13,,Michigan State,W,75,66,27,60,.450,6,18,.333,15,18,.833,8,29,11,4,10,5,10,,28,65,.431,0,7,.000,10,13,.769,12,39,4,2,2,9,17,2023,illinois
17,18,2023-01-16,@,Minnesota,W,78,60,32,64,.500,5,16,.313,9,14,.643,9,45,17,2,7,10,21,,21,58,.362,3,13,.231,15,25,.600,6,24,13,5,2,5,14,2023,illinois
18,19,2023-01-19,,Indiana,L,65,80,24,62,.387,8,19,.421,9,23,.391,12,25,7,11,2,8,8,,34,55,.618,3,9,.333,9,13,.692,6,32,13,4,6,14,19,2023,illinois
19,20,2023-01-24,,Ohio State,W,69,60,24,59,.407,5,28,.179,16,18,.889,13,42,13,4,6,10,20,,22,60,.367,4,10,.400,12,20,.600,8,24,8,6,3,6,16,2023,illinois
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,illinois
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,illinois
22,21,2023-01-28,@,Wisconsin,W,61,51,22,51,.431,6,20,.300,11,18,.611,6,34,7,2,5,11,14,,19,57,.333,9,27,.333,4,7,.571,5,30,9,6,0,9,18,2023,illinois
23,22,2023-01-31,,Nebraska,W,72,56,25,60,.417,5,29,.172,17,22,.773,9,35,14,9,4,12,14,,20,50,.400,8,20,.400,8,10,.800,3,27,9,5,2,19,20,2023,illinois
24,23,2023-02-04,@,Iowa,L,79,81,27,55,.491,7,22,.318,18,23,.783,13,37,12,4,5,14,22,,24,53,.453,7,19,.368,26,30,.867,7,23,12,7,2,6,21,2023,illinois
25,24,2023-02-20,,Minnesota,W,78,69,27,56,.482,10,26,.385,14,26,.538,10,37,8,4,2,8,18,,27,57,.474,6,17,.353,9,15,.600,6,32,14,5,1,8,19,2023,illinois
26,25,2023-02-11,,Rutgers,W,69,60,27,56,.482,5,20,.250,10,15,.667,10,37,9,3,7,16,11,,24,69,.348,4,16,.250,8,12,.667,12,31,7,9,6,8,14,2023,illinois
27,26,2023-02-14,@,Penn State,L,81,93,29,61,.475,7,27,.259,16,20,.800,7,30,13,7,3,8,17,,33,57,.579,12,28,.429,15,19,.789,3,27,13,3,1,7,16,2023,illinois
28,27,2023-02-18,@,Indiana,L,68,71,24,61,.393,6,20,.300,14,18,.778,12,36,9,9,9,11,16,,29,66,.439,5,11,.455,8,13,.615,13,35,15,8,7,13,17,2023,illinois
29,28,2023-02-23,,Northwestern,W,66,62,22,50,.440,7,24,.292,15,21,.714,8,36,6,6,6,16,16,,22,63,.349,9,21,.429,9,12,.750,10,29,7,11,2,10,18,2023,illinois
30,29,2023-02-26,@,Ohio State,L,60,72,22,61,.361,6,29,.207,10,14,.714,7,25,8,4,4,11,13,,30,56,.536,3,14,.214,9,10,.900,6,34,10,6,3,12,15,2023,illinois
31,30,2023-03-02,,Michigan,W (2 OT),91,87,30,72,.417,5,18,.278,26,34,.765,12,43,9,9,4,7,19,,31,70,.443,8,21,.381,17,24,.708,9,45,8,1,7,12,25,2023,illinois
32,31,2023-03-05,@,Purdue,L,71,76,24,50,.480,7,22,.318,16,24,.667,10,28,13,8,7,14,23,,25,53,.472,6,18,.333,20,28,.714,12,28,15,11,2,11,17,2023,illinois
33,32,2023-03-09,N,Penn State,L,76,79,29,64,.453,6,21,.286,12,19,.632,11,31,15,7,4,7,21,,29,56,.518,8,21,.381,13,22,.591,8,31,13,4,3,9,20,2023,illinois
34,33,2023-03-16,N,Arkansas,L,63,73,20,52,.385,6,22,.273,17,26,.654,2,29,10,10,5,16,19,,24,63,.381,3,11,.273,22,29,.759,10,39,4,12,4,11,19,2023,illinois
0,1,2022-11-07,,Western Illinois,L,68,71,21,56,.375,5,19,.263,21,25,.840,9,41,4,3,3,13,16,,28,65,.431,8,26,.308,7,10,.700,4,26,16,5,3,4,17,2023,illinois state
1,2,2022-11-10,@,Eastern Illinois,W,54,49,17,47,.362,9,22,.409,11,13,.846,8,36,12,6,3,15,15,,19,57,.333,2,18,.111,9,15,.600,11,32,7,9,5,9,16,2023,illinois state
2,3,2022-11-12,@,Northwestern State,W,69,67,20,37,.541,5,14,.357,24,31,.774,8,24,11,6,4,16,24,,25,59,.424,8,19,.421,9,17,.529,16,26,7,6,0,12,28,2023,illinois state
3,4,2022-11-17,,Northwestern State,L,67,70,24,53,.453,9,25,.360,10,12,.833,9,31,13,1,6,17,18,,24,53,.453,7,13,.538,15,18,.833,5,25,7,11,3,9,17,2023,illinois state
4,5,2022-11-21,N,LSU,L,61,77,22,52,.423,5,22,.227,12,14,.857,3,21,13,8,3,19,24,,26,53,.491,3,14,.214,22,30,.733,7,32,17,8,3,18,19,2023,illinois state
5,6,2022-11-22,N,Western Kentucky,L,66,78,21,55,.382,10,31,.323,14,15,.933,7,25,9,5,7,11,21,,26,51,.510,10,17,.588,16,23,.696,8,32,16,5,5,11,17,2023,illinois state
6,7,2022-11-23,N,Rhode Island,L,44,57,13,48,.271,7,21,.333,11,17,.647,7,21,7,9,8,9,22,,19,57,.333,3,19,.158,16,19,.842,12,40,4,4,3,11,17,2023,illinois state
7,8,2022-12-01,@,Murray State,L (1 OT),67,70,27,60,.450,8,28,.286,5,6,.833,4,31,11,7,3,13,16,,26,61,.426,8,26,.308,10,15,.667,7,31,11,2,3,8,10,2023,illinois state
8,9,2022-12-04,,Belmont,W,87,77,30,55,.545,13,21,.619,14,17,.824,10,34,20,5,5,14,17,,27,59,.458,8,18,.444,15,18,.833,3,18,17,8,2,8,17,2023,illinois state
9,10,2022-12-07,,Eastern Michigan,W,87,81,27,48,.563,6,21,.286,27,34,.794,7,31,11,4,3,12,20,,28,56,.500,7,17,.412,18,25,.720,4,21,12,4,1,9,27,2023,illinois state
10,11,2022-12-10,,SIU-Edwardsville,W,77,71,24,57,.421,6,22,.273,23,27,.852,11,34,10,5,2,9,14,,28,64,.438,5,18,.278,10,11,.909,8,29,11,4,3,8,21,2023,illinois state
11,12,2022-12-17,N,Ball State,L,69,83,28,67,.418,6,18,.333,7,13,.538,12,30,7,9,2,12,20,,31,55,.564,7,15,.467,14,20,.700,6,26,19,4,8,11,13,2023,illinois state
12,13,2022-12-19,,Chicago State,W,66,52,26,55,.473,9,27,.333,5,6,.833,11,34,15,7,3,14,16,,20,53,.377,4,19,.211,8,15,.533,11,26,9,10,4,14,15,2023,illinois state
13,14,2022-12-28,@,UIC,L,51,55,21,58,.362,3,17,.176,6,11,.545,7,34,7,4,4,15,18,,17,48,.354,7,26,.269,14,21,.667,6,28,12,7,9,12,12,2023,illinois state
14,15,2022-12-31,,Northern Iowa,L,60,66,20,54,.370,9,26,.346,11,13,.846,3,33,12,4,5,20,21,,22,52,.423,5,19,.263,17,27,.630,2,29,8,15,0,11,18,2023,illinois state
15,16,2023-01-04,,Indiana State,L,67,76,25,59,.424,9,20,.450,8,11,.727,6,19,14,10,3,11,15,,30,50,.600,6,19,.316,10,12,.833,5,31,16,4,3,15,16,2023,illinois state
16,17,2023-01-07,@,Evansville,W,69,61,24,50,.480,5,16,.313,16,17,.941,7,35,14,8,1,17,23,,18,48,.375,7,16,.438,18,29,.621,3,20,7,6,0,14,21,2023,illinois state
17,18,2023-01-11,,Missouri State,W (1 OT),76,66,20,50,.400,7,24,.292,29,32,.906,7,32,6,9,3,12,20,,21,62,.339,8,34,.235,16,26,.615,17,34,12,5,4,15,27,2023,illinois state
18,19,2023-01-14,@,Southern Illinois,L,57,69,19,40,.475,7,17,.412,12,18,.667,4,29,8,2,3,15,17,,26,54,.481,7,25,.280,10,14,.714,4,20,13,7,2,4,18,2023,illinois state
19,20,2023-01-18,@,Northern Iowa,L,63,65,23,48,.479,5,20,.250,12,15,.800,2,28,7,6,2,13,19,,22,49,.449,12,27,.444,9,14,.643,3,26,14,6,1,15,16,2023,illinois state
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,illinois state
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,illinois state
22,21,2023-01-21,,Valparaiso,L,51,71,19,56,.339,5,21,.238,8,10,.800,9,27,6,6,3,14,14,,27,47,.574,9,16,.563,8,14,.571,3,28,11,8,5,10,16,2023,illinois state
23,22,2023-01-25,@,Bradley,L (1 OT),75,79,25,58,.431,4,16,.250,21,26,.808,13,39,9,6,2,21,28,,27,57,.474,7,25,.280,18,32,.563,8,24,13,11,7,10,18,2023,illinois state
24,23,2023-01-29,,Southern Illinois,W,72,66,22,47,.468,11,19,.579,17,18,.944,7,25,13,3,3,13,15,,26,55,.473,11,27,.407,3,10,.300,11,27,15,9,1,10,20,2023,illinois state
25,24,2023-02-01,,UIC,W (1 OT),68,62,24,52,.462,7,21,.333,13,20,.650,5,34,13,4,2,15,18,,23,54,.426,8,25,.320,8,18,.444,4,24,11,6,4,13,22,2023,illinois state
26,25,2023-02-04,@,Belmont,L,75,90,28,56,.500,11,27,.407,8,11,.727,6,19,15,5,6,10,19,,34,64,.531,6,22,.273,16,19,.842,13,35,17,7,2,7,11,2023,illinois state
27,26,2023-02-08,,Bradley,L,61,79,20,50,.400,8,19,.421,13,17,.765,5,24,10,7,2,12,16,,31,61,.508,8,22,.364,9,14,.643,11,37,14,6,4,11,15,2023,illinois state
28,27,2023-02-11,@,Valparaiso,L,76,81,29,62,.468,9,30,.300,9,12,.750,8,21,10,8,1,8,22,,28,51,.549,6,17,.353,19,24,.792,9,32,17,2,4,13,16,2023,illinois state
29,28,2023-02-15,,Murray State,L,75,76,28,52,.538,8,21,.381,11,13,.846,6,28,14,5,4,13,12,,29,55,.527,9,18,.500,9,13,.692,5,22,14,7,0,9,10,2023,illinois state
30,29,2023-02-18,@,Indiana State,L,64,80,22,55,.400,5,25,.200,15,19,.789,6,31,7,7,3,12,25,,22,51,.431,6,20,.300,30,35,.857,7,32,11,4,1,11,17,2023,illinois state
31,30,2023-02-22,@,Drake,L,51,82,18,56,.321,5,20,.250,10,15,.667,7,30,6,1,2,14,18,,27,55,.491,9,26,.346,19,22,.864,6,34,13,8,3,7,16,2023,illinois state
32,31,2023-02-26,,Evansville,W,72,53,27,51,.529,9,19,.474,9,10,.900,6,30,12,5,1,14,12,,21,56,.375,5,16,.313,6,8,.750,5,20,6,8,4,9,13,2023,illinois state
33,32,2023-03-02,N,Northern Iowa,L,62,75,23,55,.418,7,21,.333,9,13,.692,6,28,19,8,3,17,15,,27,58,.466,9,28,.321,12,13,.923,3,28,18,8,2,10,16,2023,illinois state
0,1,2022-11-07,,Trinity Christian,W,82,48,31,69,.449,7,27,.259,13,22,.591,12,51,16,12,10,13,17,,18,64,.281,5,20,.250,7,12,.583,7,32,8,6,2,20,20,2023,illinois chicago
1,2,2022-11-11,,Loyola (IL),L,63,70,20,50,.400,2,16,.125,21,31,.677,7,21,7,12,4,16,19,,27,49,.551,2,14,.143,14,19,.737,8,35,14,11,3,25,26,2023,illinois chicago
2,3,2022-11-14,,Jacksonville State,W,67,60,19,55,.345,7,25,.280,22,31,.710,8,32,13,8,5,17,16,,24,64,.375,4,20,.200,8,10,.800,10,42,11,5,2,19,26,2023,illinois chicago
3,4,2022-11-19,@,Fordham,L,65,79,25,55,.455,6,17,.353,9,11,.818,5,24,9,6,3,13,22,,28,54,.519,11,23,.478,12,19,.632,6,26,15,8,4,12,13,2023,illinois chicago
4,5,2022-11-21,N,Stonehill,W,77,71,27,56,.482,14,30,.467,9,19,.474,4,25,14,7,5,12,19,,22,49,.449,5,17,.294,22,27,.815,4,31,11,5,1,16,18,2023,illinois chicago
5,6,2022-11-22,N,Holy Cross,W,89,66,29,61,.475,9,25,.360,22,31,.710,5,29,17,11,5,6,17,,23,61,.377,4,18,.222,16,23,.696,13,40,13,6,2,16,20,2023,illinois chicago
6,7,2022-11-26,@,Green Bay,W,78,64,27,51,.529,5,19,.263,19,29,.655,6,27,13,7,5,10,27,,18,46,.391,2,12,.167,26,33,.788,7,22,7,5,2,14,18,2023,illinois chicago
7,8,2022-11-30,,Missouri State,L,51,66,16,53,.302,7,21,.333,12,19,.632,7,35,11,3,5,15,13,,27,73,.370,6,23,.261,6,13,.462,16,43,14,11,10,8,17,2023,illinois chicago
8,9,2022-12-03,@,Drake,L,64,77,22,59,.373,10,28,.357,10,13,.769,10,36,10,4,0,15,18,,26,53,.491,9,24,.375,16,21,.762,4,29,14,7,3,11,18,2023,illinois chicago
9,10,2022-12-10,@,Western Michigan,W,62,56,21,55,.382,9,29,.310,11,15,.733,1,19,14,6,4,7,9,,24,61,.393,5,15,.333,3,4,.750,15,48,11,3,3,21,16,2023,illinois chicago
10,11,2022-12-13,,Prairie View,W,70,61,25,54,.463,11,25,.440,9,12,.750,4,22,15,7,5,12,15,,21,59,.356,5,20,.250,14,18,.778,13,35,9,5,7,14,16,2023,illinois chicago
11,12,2022-12-18,,Northeastern,W,81,73,29,60,.483,9,23,.391,14,23,.609,6,27,17,11,7,11,18,,27,58,.466,10,19,.526,9,17,.529,8,33,16,6,8,15,21,2023,illinois chicago
12,13,2022-12-20,@,Northwestern,L,54,92,17,44,.386,8,24,.333,12,19,.632,3,20,12,2,6,21,17,,36,70,.514,8,27,.296,12,15,.800,15,42,20,7,2,8,20,2023,illinois chicago
13,14,2022-12-28,,Illinois State,W,55,51,17,48,.354,7,26,.269,14,21,.667,6,28,12,7,9,12,12,,21,58,.362,3,17,.176,6,11,.545,7,34,7,4,4,15,18,2023,illinois chicago
14,15,2022-12-31,@,Bradley,L,45,79,17,58,.293,1,18,.056,10,14,.714,12,36,4,5,1,14,19,,30,57,.526,8,22,.364,11,18,.611,7,36,15,9,7,9,15,2023,illinois chicago
15,16,2023-01-04,,Belmont,L,71,77,25,65,.385,8,26,.308,13,18,.722,8,35,17,8,8,17,20,,27,60,.450,9,24,.375,14,23,.609,6,37,21,11,4,20,16,2023,illinois chicago
16,17,2023-01-07,@,Indiana State,L,60,80,21,51,.412,8,24,.333,10,19,.526,2,22,10,4,3,13,20,,29,55,.527,5,18,.278,17,21,.810,5,33,17,7,4,12,15,2023,illinois chicago
17,18,2023-01-10,,Drake,L (1 OT),71,76,27,56,.482,8,27,.296,9,14,.643,2,18,19,10,4,11,23,,26,53,.491,6,16,.375,18,29,.621,9,35,15,3,1,16,17,2023,illinois chicago
18,19,2023-01-14,@,Murray State,L,64,81,19,54,.352,11,31,.355,15,21,.714,7,21,8,3,5,9,18,,31,54,.574,5,13,.385,14,18,.778,6,34,12,3,4,14,20,2023,illinois chicago
19,20,2023-01-17,@,Valparaiso,L,66,76,21,52,.404,6,24,.250,18,24,.750,4,30,11,4,1,11,21,,22,51,.431,9,20,.450,23,27,.852,2,29,14,7,3,7,19,2023,illinois chicago
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,illinois chicago
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,illinois chicago
22,21,2023-01-21,,Northern Iowa,L,72,78,27,56,.482,13,28,.464,5,8,.625,4,20,17,4,4,10,21,,25,56,.446,7,20,.350,21,26,.808,11,34,16,4,2,9,12,2023,illinois chicago
23,22,2023-01-24,@,Missouri State,L,59,63,17,48,.354,10,27,.370,15,22,.682,6,29,12,9,3,16,18,,22,58,.379,5,25,.200,14,18,.778,10,34,13,8,6,14,17,2023,illinois chicago
24,23,2023-01-29,,Bradley,L,76,83,25,52,.481,9,24,.375,17,27,.630,7,28,12,6,3,11,20,,26,53,.491,11,23,.478,20,28,.714,9,34,19,6,2,9,22,2023,illinois chicago
25,24,2023-02-01,@,Illinois State,L (1 OT),62,68,23,54,.426,8,25,.320,8,18,.444,4,24,11,6,4,13,22,,24,52,.462,7,21,.333,13,20,.650,5,34,13,4,2,15,18,2023,illinois chicago
26,25,2023-02-04,,Evansville,W,70,61,27,62,.435,6,26,.231,10,16,.625,12,39,17,4,9,15,19,,22,66,.333,4,21,.190,13,20,.650,10,37,9,7,0,11,17,2023,illinois chicago
27,26,2023-02-08,@,Southern Illinois,L,66,68,22,64,.344,8,23,.348,14,19,.737,10,25,14,11,5,6,19,,22,41,.537,6,14,.429,18,22,.818,3,31,16,2,6,19,18,2023,illinois chicago
28,27,2023-02-11,@,Belmont,L,71,98,26,62,.419,7,15,.467,12,19,.632,10,27,10,8,5,16,13,,36,63,.571,13,23,.565,13,15,.867,7,30,24,7,5,12,12,2023,illinois chicago
29,28,2023-02-15,,Indiana State,L,60,79,24,61,.393,7,24,.292,5,9,.556,9,29,14,5,4,14,16,,28,52,.538,8,18,.444,15,20,.750,4,30,18,9,2,15,11,2023,illinois chicago
30,29,2023-02-19,,Valparaiso,W,74,73,25,59,.424,11,29,.379,13,18,.722,7,26,18,5,6,8,11,,29,62,.468,7,17,.412,8,11,.727,9,35,17,4,2,10,16,2023,illinois chicago
31,30,2023-02-22,@,Evansville,W,82,76,28,55,.509,11,23,.478,15,23,.652,4,31,17,5,3,11,15,,30,66,.455,7,20,.350,9,11,.818,6,28,11,5,2,12,23,2023,illinois chicago
32,31,2023-02-26,,Southern Illinois,L,65,68,25,57,.439,7,23,.304,8,14,.571,4,40,12,2,6,13,14,,23,64,.359,10,24,.417,12,17,.706,6,36,17,7,5,6,16,2023,illinois chicago
33,32,2023-03-02,N,Missouri State,L,57,74,23,58,.397,5,22,.227,6,12,.500,10,28,18,4,3,5,12,,29,59,.492,9,25,.360,7,13,.538,11,33,16,2,9,6,11,2023,illinois chicago
0,1,2022-11-07,,North Dakota,L,57,65,22,61,.361,3,20,.150,10,15,.667,9,25,10,9,2,10,26,,21,50,.420,5,20,.250,18,27,.667,10,33,14,3,6,12,16,2023,incarnate word
1,2,2022-11-12,@,UNLV,L,63,88,26,62,.419,10,31,.323,1,3,.333,11,29,17,9,2,25,23,,31,56,.554,7,15,.467,19,29,.655,12,36,17,17,5,16,10,2023,incarnate word
2,3,2022-11-15,,Texas Lutheran,W,84,47,34,66,.515,4,10,.400,12,17,.706,12,42,18,13,1,7,15,,16,52,.308,5,23,.217,10,16,.625,6,24,6,6,0,17,10,2023,incarnate word
3,4,2022-11-19,@,Valparaiso,L,64,68,25,59,.424,10,22,.455,4,7,.571,8,28,14,4,1,10,20,,21,52,.404,6,23,.261,20,23,.870,6,30,14,6,1,9,15,2023,incarnate word
4,5,2022-11-22,,Our Lady of the Lake,W,85,76,28,54,.519,6,14,.429,23,33,.697,4,28,8,9,1,16,16,,26,60,.433,9,29,.310,15,20,.750,6,33,19,11,0,17,25,2023,incarnate word
5,6,2022-11-25,N,Dartmouth,W,69,64,23,59,.390,2,12,.167,21,23,.913,7,31,5,14,2,10,16,,23,61,.377,8,28,.286,10,18,.556,14,38,16,6,6,21,16,2023,incarnate word
6,7,2022-11-27,N,Grambling,W,63,61,20,51,.392,8,22,.364,15,19,.789,5,26,11,9,3,11,15,,25,50,.500,4,13,.308,7,10,.700,4,27,11,5,4,17,15,2023,incarnate word
7,8,2022-11-28,@,UTSA,L,62,68,24,64,.375,5,18,.278,9,10,.900,8,27,14,6,6,7,13,,25,57,.439,10,28,.357,8,10,.800,10,34,14,2,6,10,12,2023,incarnate word
8,9,2022-11-30,,Dallas Christian,W,112,64,40,68,.588,10,22,.455,22,28,.786,13,38,27,9,2,11,14,,23,56,.411,4,16,.250,14,18,.778,6,22,6,6,0,19,19,2023,incarnate word
9,10,2022-12-03,@,Grambling,L,39,72,14,58,.241,3,19,.158,8,19,.421,16,36,6,6,3,16,14,,28,53,.528,7,14,.500,9,18,.500,7,39,19,7,7,12,19,2023,incarnate word
10,11,2022-12-11,@,Kansas State,L,50,98,19,50,.380,7,14,.500,5,8,.625,4,23,14,3,2,19,12,,39,66,.591,12,26,.462,8,14,.571,9,37,26,11,0,8,9,2023,incarnate word
11,12,2022-12-16,,Bethune-Cookman,W,77,65,27,49,.551,5,11,.455,18,23,.783,5,25,11,12,1,16,14,,27,62,.435,6,15,.400,5,10,.500,14,31,11,9,4,21,20,2023,incarnate word
12,13,2022-12-21,@,Florida International,L,74,79,26,53,.491,8,20,.400,14,19,.737,7,30,12,11,1,18,18,,28,54,.519,11,28,.393,12,19,.632,7,25,18,11,3,17,17,2023,incarnate word
13,14,2022-12-31,@,East Texas A&M,L (1 OT),74,82,24,62,.387,7,18,.389,19,24,.792,9,29,10,8,0,9,20,,27,56,.482,8,25,.320,20,27,.741,8,38,15,6,3,15,17,2023,incarnate word
14,15,2023-01-04,@,Texas A&M-Corpus Christi,L,61,91,21,53,.396,2,20,.100,17,20,.850,7,27,9,6,1,16,15,,35,60,.583,10,25,.400,11,12,.917,3,26,24,9,0,10,20,2023,incarnate word
15,16,2023-01-07,,Texas A&M-Corpus Christi,L,71,80,25,50,.500,7,21,.333,14,19,.737,4,25,13,10,4,17,16,,29,60,.483,11,24,.458,11,15,.733,8,28,17,9,2,15,17,2023,incarnate word
16,17,2023-01-12,,New Orleans,L (1 OT),79,85,27,68,.397,6,25,.240,19,28,.679,15,36,10,13,1,17,24,,30,55,.545,3,15,.200,22,28,.786,6,36,10,7,3,21,21,2023,incarnate word
17,18,2023-01-14,,Southeastern Louisiana,L,71,75,28,58,.483,8,17,.471,7,10,.700,8,28,10,3,3,10,20,,22,54,.407,8,21,.381,23,25,.920,9,33,10,6,0,10,15,2023,incarnate word
18,19,2023-01-19,@,Houston Christian,W,89,78,32,55,.582,4,10,.400,21,28,.750,6,28,17,4,6,10,23,,25,66,.379,6,21,.286,22,29,.759,17,34,13,3,1,11,23,2023,incarnate word
19,20,2023-01-21,@,Lamar,W,70,64,26,63,.413,5,16,.313,13,20,.650,11,28,15,18,6,7,15,,23,52,.442,5,12,.417,13,18,.722,11,40,8,3,7,21,18,2023,incarnate word
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,incarnate word
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,incarnate word
22,21,2023-01-26,,McNeese State,W,70,65,24,49,.490,4,12,.333,18,23,.783,5,30,12,5,5,14,12,,26,64,.406,6,25,.240,7,11,.636,13,33,8,7,3,11,20,2023,incarnate word
23,22,2023-01-28,,Nicholls State,W,69,67,21,51,.412,6,14,.429,21,27,.778,6,28,9,8,3,10,18,,27,53,.509,5,16,.313,8,17,.471,7,36,9,7,2,14,19,2023,incarnate word
24,23,2023-02-02,@,Southeastern Louisiana,L,67,77,25,55,.455,7,18,.389,10,15,.667,4,25,11,7,5,13,13,,31,64,.484,5,13,.385,10,12,.833,8,35,14,6,1,10,14,2023,incarnate word
25,24,2023-02-04,@,New Orleans,W,78,70,22,45,.489,8,18,.444,26,29,.897,5,24,14,6,4,13,18,,25,58,.431,6,14,.429,14,20,.700,11,27,13,5,3,16,22,2023,incarnate word
26,25,2023-02-09,,Lamar,L,59,68,20,57,.351,5,20,.250,14,22,.636,12,34,9,4,6,10,16,,25,57,.439,9,17,.529,9,15,.600,13,40,12,4,3,9,20,2023,incarnate word
